"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\workspace\brainless-jellyfish\jest.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\workspace\brainless-jellyfish\package-lock.json", "JSON", 0, 0, 0, 5081, 0, 0, 0, 0, 0, 1, 5082
"d:\workspace\brainless-jellyfish\package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"d:\workspace\brainless-jellyfish\src\bot.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 6, 14, 106
"d:\workspace\brainless-jellyfish\src\commands\autoRole.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\workspace\brainless-jellyfish\src\commands\autoRole\createButton.ts", "TypeScript", 0, 91, 0, 0, 0, 0, 0, 0, 3, 13, 107
"d:\workspace\brainless-jellyfish\src\commands\autoRole\createMessage.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 0, 4, 12, 94
"d:\workspace\brainless-jellyfish\src\commands\autoRole\lockDown.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\workspace\brainless-jellyfish\src\commands\autoRole\setButton.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 2, 11, 79
"d:\workspace\brainless-jellyfish\src\commands\avatar.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"d:\workspace\brainless-jellyfish\src\commands\commandOptions\booleanOptions.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workspace\brainless-jellyfish\src\commands\commandOptions\numberOptions.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\workspace\brainless-jellyfish\src\commands\commandOptions\roleOptions.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workspace\brainless-jellyfish\src\commands\commandOptions\stringOptions.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 10, 48
"d:\workspace\brainless-jellyfish\src\commands\commandOptions\userOptions.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\workspace\brainless-jellyfish\src\commands\connectingWords.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\workspace\brainless-jellyfish\src\commands\connectingWords\removeChannel.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 3, 24
"d:\workspace\brainless-jellyfish\src\commands\connectingWords\setChannel.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
