Date : 2024-10-18 20:22:10
Directory : d:\workspace\brainless-jellyfish\src
Total : 78 files,  2716 codes, 202 comments, 577 blanks, all 3495 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         78 |      2,716 |        202 |        577 |      3,495 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         78 |      2,716 |        202 |        577 |      3,495 |
| . (Files)                                                                                   |          3 |        100 |          6 |         21 |        127 |
| commands                                                                                    |         33 |        711 |         24 |        151 |        886 |
| commands (Files)                                                                            |          7 |        129 |          0 |         30 |        159 |
| commands\autoRole                                                                           |          4 |        237 |          9 |         38 |        284 |
| commands\commandOptions                                                                     |          5 |         76 |          0 |         22 |         98 |
| commands\connectingWords                                                                    |          3 |         57 |          6 |          9 |         72 |
| commands\drop                                                                               |          8 |         94 |          4 |         28 |        126 |
| commands\drop (Files)                                                                       |          4 |         36 |          4 |         11 |         51 |
| commands\drop\noitu                                                                         |          3 |         18 |          0 |         10 |         28 |
| commands\drop\noitu (Files)                                                                 |          2 |         12 |          0 |          7 |         19 |
| commands\drop\noitu\config                                                                  |          1 |          6 |          0 |          3 |          9 |
| commands\drop\voiceChannelManager                                                           |          1 |         40 |          0 |          7 |         47 |
| commands\purge                                                                              |          6 |        118 |          5 |         24 |        147 |
| components                                                                                  |          4 |         92 |          1 |         15 |        108 |
| components\buttons                                                                          |          4 |         92 |          1 |         15 |        108 |
| components\buttons\connectingWords                                                          |          1 |         11 |          0 |          3 |         14 |
| components\buttons\general                                                                  |          3 |         81 |          1 |         12 |         94 |
| database                                                                                    |          1 |         37 |          0 |          9 |         46 |
| events                                                                                      |          2 |         18 |          0 |          6 |         24 |
| handler                                                                                     |          4 |        173 |          1 |         29 |        203 |
| interfaces                                                                                  |          5 |         68 |          2 |         17 |         87 |
| manager                                                                                     |         13 |        889 |          7 |        190 |      1,086 |
| manager (Files)                                                                             |          5 |        459 |          6 |         95 |        560 |
| manager\command                                                                             |          1 |        206 |          0 |         43 |        249 |
| manager\event                                                                               |          2 |         12 |          1 |         12 |         25 |
| manager\games                                                                               |          2 |        131 |          0 |         20 |        151 |
| manager\guild                                                                               |          1 |         26 |          0 |          7 |         33 |
| manager\message                                                                             |          2 |         55 |          0 |         13 |         68 |
| structures                                                                                  |          4 |        183 |          8 |         39 |        230 |
| structures (Files)                                                                          |          3 |        169 |          0 |         30 |        199 |
| structures\interface                                                                        |          1 |         14 |          8 |          9 |         31 |
| utils                                                                                       |          9 |        445 |        153 |        100 |        698 |
| utils (Files)                                                                               |          3 |        269 |         35 |         45 |        349 |
| utils\builder                                                                               |          1 |          0 |         16 |          4 |         20 |
| utils\enums                                                                                 |          3 |         25 |          0 |          6 |         31 |
| utils\error                                                                                 |          2 |        151 |        102 |         45 |        298 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                    | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\workspace\brainless-jellyfish\src\bot.ts                                                 | TypeScript |         86 |          6 |         14 |        106 |
| d:\workspace\brainless-jellyfish\src\commands\autoRole.ts                                   | TypeScript |          6 |          0 |          2 |          8 |
| d:\workspace\brainless-jellyfish\src\commands\autoRole\createButton.ts                      | TypeScript |         91 |          3 |         13 |        107 |
| d:\workspace\brainless-jellyfish\src\commands\autoRole\createMessage.ts                     | TypeScript |         78 |          4 |         12 |         94 |
| d:\workspace\brainless-jellyfish\src\commands\autoRole\lockDown.ts                          | TypeScript |          2 |          0 |          2 |          4 |
| d:\workspace\brainless-jellyfish\src\commands\autoRole\setButton.ts                         | TypeScript |         66 |          2 |         11 |         79 |
| d:\workspace\brainless-jellyfish\src\commands\avatar.ts                                     | TypeScript |         26 |          0 |          8 |         34 |
| d:\workspace\brainless-jellyfish\src\commands\commandOptions\booleanOptions.ts              | TypeScript |          5 |          0 |          2 |          7 |
| d:\workspace\brainless-jellyfish\src\commands\commandOptions\numberOptions.ts               | TypeScript |         15 |          0 |          3 |         18 |
| d:\workspace\brainless-jellyfish\src\commands\commandOptions\roleOptions.ts                 | TypeScript |          5 |          0 |          2 |          7 |
| d:\workspace\brainless-jellyfish\src\commands\commandOptions\stringOptions.ts               | TypeScript |         38 |          0 |         10 |         48 |
| d:\workspace\brainless-jellyfish\src\commands\commandOptions\userOptions.ts                 | TypeScript |         13 |          0 |          5 |         18 |
| d:\workspace\brainless-jellyfish\src\commands\connectingWords.ts                            | TypeScript |          9 |          0 |          2 |         11 |
| d:\workspace\brainless-jellyfish\src\commands\connectingWords\removeChannel.ts              | TypeScript |         17 |          4 |          3 |         24 |
| d:\workspace\brainless-jellyfish\src\commands\connectingWords\setChannel.ts                 | TypeScript |         18 |          2 |          3 |         23 |
| d:\workspace\brainless-jellyfish\src\commands\connectingWords\setting.ts                    | TypeScript |         22 |          0 |          3 |         25 |
| d:\workspace\brainless-jellyfish\src\commands\drop\noitu.ts                                 | TypeScript |          6 |          0 |          3 |          9 |
| d:\workspace\brainless-jellyfish\src\commands\drop\noitu\config.ts                          | TypeScript |          6 |          0 |          4 |         10 |
| d:\workspace\brainless-jellyfish\src\commands\drop\noitu\config\create.ts                   | TypeScript |          6 |          0 |          3 |          9 |
| d:\workspace\brainless-jellyfish\src\commands\drop\noitu\getHints.ts                        | TypeScript |          6 |          0 |          3 |          9 |
| d:\workspace\brainless-jellyfish\src\commands\drop\ping.ts                                  | TypeScript |          8 |          0 |          3 |         11 |
